ID,HAS_EMAIL,PHONE_COUNTRY,IS_FRAUDSTER,TERMS_VERSION,CREATED_DATE,STATE,COUNTRY,BIRTH_YEAR,KYC,FAILED_SIGN_IN_ATTEMPTS
1872820f-e3ac-4c02-bdc7-727897b60043,1,GB||JE||IM||GG,False,2018-05-25,2017-08-06 07:33:33.341000,ACTIVE,GB,1971,PASSED,0
545ff94d-66f8-4bea-b398-84425fb2301e,1,GB||JE||IM||GG,False,2018-01-01,2017-03-07 10:18:59.427000,ACTIVE,GB,1982,PASSED,0
10376f1a-a28a-4885-8daa-c8ca496026bb,1,ES,False,2018-09-20,2018-05-31 04:41:24.672000,ACTIVE,ES,1973,PASSED,0
fd308db7-0753-4377-879f-6ecf2af14e4f,1,FR,False,2018-05-25,2018-06-01 17:24:23.852000,ACTIVE,FR,1986,PASSED,0
755fe256-a34d-4853-b7ca-d9bb991a86d3,1,GB||JE||IM||GG,False,2018-09-20,2017-08-09 15:03:33.945000,ACTIVE,GB,1989,PASSED,0
1cc43441-bb77-47ef-98e5-4af09ccf3c83,1,GB||JE||IM||GG,False,2018-03-20,2017-12-30 16:44:36.223000,ACTIVE,GB,1979,PASSED,0
5a9bae2c-db88-4744-b710-644fa625c7bb,1,FR,False,2018-03-20,2016-02-17 18:16:20.933000,ACTIVE,FR,1992,PASSED,0
60b99cff-7bf8-44e8-9ebf-9fd59d9cbca2,1,SI,False,2018-05-25,2017-01-07 11:02:29.410000,ACTIVE,SI,1992,PASSED,0
25356d21-d942-47d5-b3a9-d521c79a2ae6,1,PL,False,2018-01-13,2017-12-15 17:22:24.663000,ACTIVE,PL,1983,NONE,0
fb125ed6-c85c-47b3-bb96-3493683659b8,1,GB||JE||IM||GG,False,2018-05-25,2017-08-17 15:59:21.351000,ACTIVE,GB,1980,PASSED,0
ada797f9-2e13-4cad-934f-00e861b5ebd8,1,BE,False,2018-05-25,2018-02-24 13:26:47.609000,ACTIVE,BE,1989,PASSED,0
d0277989-4463-42b4-870f-7ba73df09d0e,1,GB||JE||IM||GG,False,2018-03-20,2017-06-05 09:30:34.633000,ACTIVE,GB,1995,PASSED,0
723ee8bc-e8a6-4503-80e5-ba48d8319bc9,1,GB||JE||IM||GG,False,2018-05-25,2017-11-29 18:00:11.189000,ACTIVE,GB,1980,PASSED,0
c09d96d6-af80-427e-b3ce-33dde700902a,1,GB||JE||IM||GG,False,2018-05-25,2018-06-04 17:18:50.672000,ACTIVE,GB,1978,NONE,0
6e54fc91-6a93-4404-aab0-b70d05cc3184,1,CH,False,2018-03-20,2018-03-23 08:05:43.491000,ACTIVE,CH,1988,FAILED,0
dffa5b2e-c20b-495e-8592-7e680393d60a,1,GB||JE||IM||GG,False,,2017-06-17 22:55:21.960000,ACTIVE,GB,1982,PASSED,0
d966bbc8-4f4a-477b-b00e-034aec8004f1,1,CZ,False,2018-09-20,2018-05-22 18:06:43.111000,ACTIVE,CZ,1982,PASSED,0
d15b5087-5a2a-4edf-865d-7f05ed835efc,1,GB||JE||IM||GG,False,2018-05-25,2018-05-27 09:52:24.774000,ACTIVE,GB,1967,PASSED,0
3280f3fd-a299-4be0-8392-47a0306f3dc4,1,ES,False,2018-05-25,2018-06-10 14:17:47.541000,ACTIVE,ES,1992,NONE,0
7717f6ff-1e56-46b4-b229-feb904055696,0,GB||JE||IM||GG,False,,2016-01-22 22:31:59.780000,ACTIVE,GB,1979,NONE,0
5e2d047c-7fbe-4093-988e-dbce6de196f7,0,GR,False,,2016-03-25 18:43:05.920000,ACTIVE,GR,1981,NONE,0
246e5f8d-024c-46d3-8e66-8ef2fc64628c,1,GB||JE||IM||GG,False,,2016-10-27 19:50:10.244000,ACTIVE,GB,1950,NONE,0
51545a9e-f5a6-4651-9c50-98bf5337fce7,1,FR,False,2018-05-25,2018-06-09 16:06:31.893000,ACTIVE,FR,1995,PASSED,0
0edeb1ee-171d-48f1-9ef3-a9ced0146912,1,GB||JE||IM||GG,False,2018-01-13,2018-01-08 16:18:46.403000,ACTIVE,GB,1987,PASSED,0
a985f42d-3eeb-419a-9dde-16898b88a84f,1,GB||JE||IM||GG,False,2017-01-16,2016-08-15 23:30:22.162000,ACTIVE,GB,1988,PASSED,0
77652bef-cd89-4faa-b7ef-2adb1034fda1,1,FI||AX,False,2018-01-13,2016-09-05 15:53:18.774000,ACTIVE,FI,1981,NONE,0
db99d304-92ca-42bb-9051-ae49af4ed014,1,GB||JE||IM||GG,False,2018-05-25,2017-01-03 19:42:02.888000,ACTIVE,GB,1971,PASSED,0
56f7da45-bb38-4960-87eb-3201f81cd865,1,GB||JE||IM||GG,False,2018-05-25,2018-06-17 15:13:59.833000,ACTIVE,GB,1994,PASSED,0
cf876875-71c4-492c-af8c-484189058c93,1,GB||JE||IM||GG,False,2018-05-25,2018-02-09 17:27:23.182000,ACTIVE,GB,1966,PASSED,0
